0x0B9CAC9,101015
0x2619039,05
0x26190A5,EFFC130118042C
0x26190AE,80
0x26190B2,021F
0x2905031,10
0x2905066,012C
0x290507A,012B
0x290532B,FF
0x296EC95,07E1
0x2975031,0C
0x297506F,07
0x29750F1,07
0x2978031,0C
0x297806F,07
0x2978151,07
0x2981031,0C
0x298106F,07
0x2981151,07
0x2986031,0C
0x298606F,07
0x2986191,07
0x298C031,0C
0x298C06F,07
0x298C0F1,07
0x298F031,0C
0x298F06F,07
0x298F121,07
0x2996031,0C
0x299606F,07
0x2996141,07
0x299A031,0C
0x299A06F,07
0x299A131,07
0x299D031,0C
0x299D06F,07
0x299D161,07
0x29A0031,0C
0x29A006F,07
0x29A00F1,07
0x29BE739,08
0x29BE75F,68
0x2A5A0CB,3F
0x2CEC130,0014FCAC055F095C
0x2CEC13A,4111
0x2CEC13D,000FFF
0x2D09031,06
0x2D090A9,1901D5
0x2D090AE,0320
0x2D090B2,40
0x2D9A031,09
0x2D9A0C5,14FD62
0x2D9A0CA,0248
0x2D9A0CE,5555
0x2D9A0D2,0FFF
0x2DC5031,02
0x2DC5055,14FF68
0x2DC505A,0BF4
0x2DC505E,80
0x2DC5062,0FFF
0x347812D,7F
0x34781AD,7F

